2023-07-24 17:04:44.310 [main] INFO  c.e.dockertest.DockerTestApplication - Starting DockerTestApplication using Java 17.0.7 on FA00080 with PID 17316 (C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-24 17:04:44.312 [main] INFO  c.e.dockertest.DockerTestApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-24 17:04:44.615 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-24 17:04:44.624 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2023-07-24 17:04:44.905 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-24 17:04:44.911 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-24 17:04:44.911 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-24 17:04:44.986 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-24 17:04:44.987 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 650 ms
2023-07-24 17:04:45.070 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 17:04:48.426 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-24 17:04:48.456 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-07-24 17:04:48.554 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-07-24 17:04:48.614 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 17:04:49.619 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2023-07-24 17:04:49.626 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-07-24 17:48:38.066 [main] INFO  c.e.dockertest.DockerTestApplication - Starting DockerTestApplication using Java 17.0.7 on FA00080 with PID 4780 (C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-24 17:48:38.068 [main] INFO  c.e.dockertest.DockerTestApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-24 17:48:38.377 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-24 17:48:38.385 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2023-07-24 17:48:38.675 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-24 17:48:38.680 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-24 17:48:38.681 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-24 17:48:38.756 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-24 17:48:38.757 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 662 ms
2023-07-24 17:48:38.854 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 17:48:39.020 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-24 17:48:39.047 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-24 17:48:39.081 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-07-24 17:48:39.185 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-07-24 17:48:39.263 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-07-24 17:48:39.373 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-24 17:48:39.380 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-24 17:48:39.601 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-24 17:48:39.607 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:48:39啟動成功
2023-07-24 17:48:39.609 [main] INFO  c.e.dockertest.DockerTestApplication - Started DockerTestApplication in 1.818 seconds (JVM running for 2.219)
2023-07-24 17:48:40.618 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:48:40啟動成功
2023-07-24 17:48:41.630 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:48:41啟動成功
2023-07-24 17:48:42.642 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:48:42啟動成功
2023-07-24 17:48:43.653 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:48:43啟動成功
2023-07-24 17:48:44.662 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:48:44啟動成功
